Reactant1;Reactant2;Product;Yield;M;L;T;S;A;id
BrC1=CC=C(C=C1)C1=CC=C(C=C1)C#N;CN(C)C1=CC=C([Zn]Cl)C=C1;CN(C)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)C#N;0.54;[0];[];[53];[60];[];3611
CN(C)C1=CC=C([Zn]Cl)C=C1;BrC1=CC=C(C=C1)N(=O)=O;CN(C)C1=CC=C(C=C1)C1=CC=C(C=C1)N(=O)=O;0.58;[0];[];[53];[60];[];3612
IC1=CC=C(C=C1)N(=O)=O;CN(C)C1=CC=C([Zn]Cl)C=C1;CN(C)C1=CC=C(C=C1)C1=CC=C(C=C1)N(=O)=O;0.7;[0];[];[53];[60];[];3613
COC(=O)C[Zn]Br;Br\C=C\C=C\C=C/Br;COC(=O)C\C=C\C=C\C=C/Br;0.22;[0];[];[53];[60];[];3615
Br[Zn]C1CC1;COC(=O)C1=CC(Br)=NC=C1Br;COC(=O)C1=CC(=NC=C1Br)C1CC1;0.74;[0];[];[53];[60];[];3617
Br[Zn]C1CC1;COC(=O)C1=CC(Br)=NC=C1Br;COC(=O)C1=CC(=NC=C1Br)C1CC1;0.74;[0];[];[53];[60];[];3618
COC1=CC(OC)=CC(I)=C1;Br[Zn]C1=NC=CC=C1;COC1=CC(=CC(OC)=C1)C1=CC=CC=N1;0.9;[0];[];[53];[60];[];3620
COC1=CC(OC)=CC(I)=C1;Br[Zn]C1=NC=CC=C1;COC1=CC(=CC(OC)=C1)C1=CC=CC=N1;0.9;[0];[];[53];[60];[];3621
Br[Zn]C1=CC=CN=C1;COC1=CC(OC)=CC(I)=C1;COC1=CC(=CC(OC)=C1)C1=CC=CN=C1;0.63;[0];[];[53];[60];[];3622
COC1=CC=C([Zn]Br)C=C1;Br\C=C/C=C/C=C\Br;COC1=CC=C(\C=C/C=C/C=C\Br)C=C1;0.63;[0];[];[53];[60];[];3623
COC1=CC=C([Zn]Br)C=C1;Br\C=C\C=C\C=C/Br;COC1=CC=C(\C=C\C=C\C=C/Br)C=C1;0.63;[0];[];[53];[60];[];3624
COC1=CC=C([Zn]Br)C=C1;Br\C=C\C=C\C=C/Br;COC1=CC=C(\C=C\C=C\C=C/Br)C=C1;0.63;[0];[];[53];[60];[];3625
COC1=CC=C([Zn]Br)C=C1;Br\C=C\C=C\C=C\Br;COC1=CC=C(\C=C\C=C\C=C\Br)C=C1;0.54;[0];[];[53];[60];[];3626
BrC1=CC=C(C=C1)C#N;COC1=CC=C([Zn]Cl)C=C1;COC1=CC=C(C=C1)C1=CC=C(C=C1)C#N;0.81;[0];[];[53];[60];[];3628
COC1=CC=C([Zn]Cl)C=C1;BrC1=CC=C(C=C1)N(=O)=O;COC1=CC=C(C=C1)C1=CC=C(C=C1)N(=O)=O;0.71;[0];[];[53];[60];[];3629
COC1=CC=C(C=C1)C1=CC=C(Br)S1;Br[Zn]C1=NC=CC=C1;COC1=CC=C(C=C1)C1=CC=C(S1)C1=NC=CC=C1;0.8;[0];[];[53];[60];[];3630
Br[Zn]C1=CC=CN=C1;COC1=CC=C(I)C=C1;COC1=CC=C(C=C1)C1=CN=CC=C1;0.81;[0];[];[53];[60];[];3631
COC1=CC=C(I)C=C1;Br[Zn]C1=NC=CC=C1;COC1=CC=C(C=C1)C1=NC=CC=C1;0.68;[0];[];[53];[60];[];3634
I[Zn]C1=CC=CC=C1;COC1=CC=C(CO[C@@H]([C@@H](C)\C=C/I)[C@@H](C)[C@@H](CCCO[Si](C)(C)C(C)(C)C)OCC2=CC=C(OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C2)C=C1OC;COC1=CC=C(CO[C@@H]([C@@H](C)\C=C/C2=CC=CC=C2)[C@@H](C)[C@@H](CCCO[Si](C)(C)C(C)(C)C)OCC2=CC=C(OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C2)C=C1OC;0.63;[0];[];[53];[60];[];3635
IC1=CC=CS1;COC1=CC=CC([Zn]Br)=N1;COC1=CC=CC(=N1)C1=CC=CS1;0.47;[0];[];[53];[60];[];3636
IC1=CSC=C1;COC1=CC=CC([Zn]Br)=N1;COC1=CC=CC(=N1)C1=CSC=C1;0.54;[0];[];[53];[60];[];3637
CC1=CC=CC(Br)=N1;COC1=CC=CC([Zn]Br)=N1;COC1=CC=CC(=N1)C1=NC(C)=CC=C1;0.26;[0];[];[53];[60];[];3638
BrC1=CC=C(O1)C=O;COC1=CC=CC([Zn]Br)=N1;COC1=NC(=CC=C1)C1=CC=C(O1)C=O;0.5;[0];[];[53];[60];[];3639
BrC1=CC=C(O1)C=O;COC1=CC=CC([Zn]Br)=N1;COC1=NC(=CC=C1)C1=CC=C(O1)C=O;0.5;[0];[];[53];[60];[];3640
COC1=CC=CC(Br)=N1;Br[Zn]C1=NC=CC=C1;COC1=NC(=CC=C1)C1=NC=CC=C1;0.53;[0];[];[53];[60];[];3641
COC1=CC=CC(Br)=N1;Br[Zn]C1=NC=CC=C1;COC1=NC(=CC=C1)C1=NC=CC=C1;0.53;[0];[];[53];[60];[];3642
Br[Zn]C1CC1;COC1=NC2=CC=C(Br)C=C2C=C1[C@@H](C1=CC=CC=C1)[C@@](O)(CCN(C)C)C1=CC(I)=CC=C1;COC1=NC2=CC=C(Br)C=C2C=C1[C@@H](C1=CC=CC=C1)[C@@](O)(CCN(C)C)C1=CC(=CC=C1)C1CC1;0.819;[0];[];[53];[60];[];3643
Br[Zn]C1CC1;COC1=NC2=CC=C(Br)C=C2C=C1[C@@H](C1=CC=CC=C1)[C@@](O)(CCN(C)C)C1=CC=C(I)C=C1;COC1=NC2=CC=C(Br)C=C2C=C1[C@@H](C1=CC=CC=C1)[C@@](O)(CCN(C)C)C1=CC=C(C=C1)C1CC1;0.872;[0];[];[53];[60];[];3644
Br[Zn]C1=CC=CN=C1;CSC1=C(I)C=CC=C1;CSC1=C(C=CC=C1)C1=CC=CN=C1;0.32;[0];[];[53];[60];[];3645
CSC1=C(I)C2=C(O1)C=CC=C2;Cl[Zn]C1=CC=CC=C1;CSC1=C(C2=C(O1)C=CC=C2)C1=CC=CC=C1;0.76;[0];[];[53];[60];[];3646
CSC1=C(I)C2=C(O1)C=CC=C2;Cl[Zn]C1=CC=CS1;CSC1=C(C2=CC=CS2)C2=C(O1)C=CC=C2;0.61;[0];[];[53];[60];[];3647
CSC1=CC=C([Zn]Cl)C=C1;BrC1=CC=C(C=C1)N(=O)=O;CSC1=CC=C(C=C1)C1=CC=C(C=C1)N(=O)=O;0.42;[0];[];[53];[60];[];3648
Br[Zn]C1=CC=CN=C1;FC1=C(I)C=CC(Br)=C1;FC1=C(C=CC(Br)=C1)C1=CC=CN=C1;0.63;[0];[];[53];[60];[];3649
Br[Zn]C1=CC(=O)OC2=CC=CC=C12;FC1=CC=C(Br)C=C1;FC1=CC=C(C=C1)C1=CC(=O)OC2=CC=CC=C12;0.75;[0];[];[53];[60];[];3650
BrC1=CC=C(O1)C=O;FC1=CC=C([Zn]I)C=C1Cl;FC1=CC=C(C=C1Cl)C1=CC=C(O1)C=O;0.9;[0];[];[53];[60];[];3651
BrC1=CC=C(O1)C=O;FC1=CC=C([Zn]Br)N=C1;FC1=CC=C(N=C1)C1=CC=C(O1)C=O;0.6;[0];[];[53];[60];[];3652
FC1=NC(Br)=CC=C1;Br[Zn]C1=NC=CC=C1;FC1=CC=CC(=N1)C1=NC=CC=C1;0.57;[0];[];[53];[60];[];3653
FC1=CC(C[Zn]Br)=CC=C1;ClC1=C(SC2C(=O)CC(NC2=O)(C2=CSC=C2)C2=NC(Br)=CC=C2)C=CC=C1;FC1=CC=CC(CC2=CC=CC(=N2)C2(CC(=O)C(SC3=C(Cl)C=CC=C3)C(=O)N2)C2=CSC=C2)=C1;0.2;[0];[];[53];[60];[];3654
FC1=CC=CC(C[Zn]Cl)=C1;ClC1=C(SC2C(=O)CC(NC2=O)(C2=CSC=C2)C2=NC(Br)=CC=C2)C=CC=C1;FC1=CC=CC(CC2=CC=CC(=N2)C2(CC(=O)C(SC3=C(Cl)C=CC=C3)C(=O)N2)C2=CSC=C2)=C1;0.83;[0];[];[53];[60];[];3656
Br[Zn]C1CC1;FC1=CN=C(Cl)C(Br)=C1;FC1=CN=C(C2CC2)C(Br)=C1;0.51;[0];[];[53];[60];[];3657
Br[Zn]C1CC1;FC1=CN=C(Cl)C(Br)=C1;FC1=CN=C(C2CC2)C(Br)=C1;0.51;[0];[];[53];[60];[];3658
BrC1=CC=C(C=C1)C#N;Cl[Zn]C1=CC=CO1;N#CC1=CC=C(C=C1)C1=CC=CO1;0.74;[0];[];[53];[60];[];3659
Br[Zn]C1=CC2=CC=CC=C2N=C1;IC1=CC=C(C=C1)C#N;N#CC1=CC=C(C=C1)C1=CC2=CC=CC=C2N=C1;0.7;[0];[];[53];[60];[];3660
Br[Zn]C1=CC=CN=C1;IC1=CC=C(C=C1)C#N;N#CC1=CC=C(C=C1)C1=CN=CC=C1;0.65;[0];[];[53];[60];[];3661
IC1=CC=C(C=C1)C#N;Br[Zn]C1=NC=CC=C1;N#CC1=CC=C(C=C1)C1=NC=CC=C1;0.88;[0];[];[53];[60];[];3662
IC1=CC=C(C=C1)C#N;Br[Zn]C1=NC=CC=C1;N#CC1=CC=C(C=C1)C1=NC=CC=C1;0.88;[0];[];[53];[60];[];3663
Br[Zn]CC1=CC=C(C=C1)C#N;BrC1=CC=C(O1)C1=CC=C(C=N1)C#N;N#CC1=CC=C(CC2=CC=C(O2)C2=CC=C(C=N2)C#N)C=C1;0.48;[0];[];[53];[60];[];3664
Br[Zn]C1=CC=CN=C1;NC1=C(I)C=CC=C1;NC1=C(C=CC=C1)C1=CC=CN=C1;0.61;[0];[];[53];[60];[];3665
NC1=C(I)C=CC=C1;Br[Zn]C1=NC=CC=C1;NC1=C(C=CC=C1)C1=NC=CC=C1;0.74;[0];[];[53];[60];[];3666
NC1=C(I)C=CC=C1;Br[Zn]C1=NC=CC=C1;NC1=C(C=CC=C1)C1=NC=CC=C1;0.74;[0];[];[53];[60];[];3667
NC1=CC=CC(I)=C1;Br[Zn]C1=NC=CC=C1;NC1=CC(=CC=C1)C1=NC=CC=C1;0.64;[0];[];[53];[60];[];3669
ClC1=CC=C([Zn]Br)C=N1;NC1=CC=C(I)C=C1;NC1=CC=C(C=C1)C1=CC=C(Cl)N=C1;0.92;[0];[];[53];[60];[];3671
Br[Zn]C1=CC=CN=C1;NC1=CC=C(I)C=C1;NC1=CC=C(C=C1)C1=CC=CN=C1;0.86;[0];[];[53];[60];[];3672
ClC1=NC=CC=C1[Zn]Br;NC1=CC=C(I)C=C1;NC1=CC=C(C=C1)C1=CC=CN=C1Cl;0.92;[0];[];[53];[60];[];3673
ClC1=NC=CC([Zn]Br)=C1;NC1=CC=C(I)C=C1;NC1=CC=C(C=C1)C1=CC=NC(Cl)=C1;0.67;[0];[];[53];[60];[];3674
Br[Zn]C1=CC2=CC=CC=C2N=C1;NC1=CC=C(I)C=C1;NC1=CC=C(C=C1)C1=CC2=CC=CC=C2N=C1;0.89;[0];[];[53];[60];[];3675
BrC1=CC=CS1;Br[Zn]C1=CC(=O)OC2=CC=CC=C12;O=C1OC2=C(C=CC=C2)C(=C1)C1=CC=CS1;0.81;[0];[];[53];[60];[];3676
IC1=CC=CC=C1;Br[Zn]C1=CC(=O)OC2=CC=CC=C12;O=C1OC2=CC=CC=C2C(=C1)C1=CC=CC=C1;0.83;[0];[];[53];[60];[];3678
BrC1=CC=C(O1)C=O;I[Zn]C1=CC=C(C=C1)C#N;O=CC1=CC=C(O1)C1=CC=C(C=C1)C#N;0.91;[0];[];[53];[60];[];3679
Br[Zn]C1=CC=C(S1)C1OCCO1;BrC1=CC=C(O1)C=O;O=CC1=CC=C(O1)C1=CC=C(S1)C1OCCO1;0.95;[0];[];[53];[60];[];3680
BrC1=CC=C(O1)C=O;I[Zn]C1=CC=CC(=C1)C#N;O=CC1=CC=C(O1)C1=CC=CC(=C1)C#N;0.42;[0];[];[53];[60];[];3681
BrC1=CC=C(O1)C=O;I[Zn]C1=CC=CC(=C1)C#N;O=CC1=CC=C(O1)C1=CC=CC(=C1)C#N;0.42;[0];[];[53];[60];[];3682
BrC1=CC=C(O1)C=O;Br[Zn]C1=CC2=CC=CC=C2N=C1;O=CC1=CC=C(O1)C1=CC2=CC=CC=C2N=C1;0.41;[0];[];[53];[60];[];3683
BrC1=CC=C(O1)C=O;Br[Zn]C1=CC2=CC=CC=C2N=C1;O=CC1=CC=C(O1)C1=CC2=CC=CC=C2N=C1;0.41;[0];[];[53];[60];[];3684
Br[Zn]C1=CC=CN=C1;BrC1=CC=C(O1)C=O;O=CC1=CC=C(O1)C1=CN=CC=C1;0.85;[0];[];[53];[60];[];3685
BrC1=CC=C(O1)C=O;Br[Zn]C1=CN=CN=C1;O=CC1=CC=C(O1)C1=CN=CN=C1;0.33;[0];[];[53];[60];[];3687
BrC1=CC=C(O1)C=O;Br[Zn]C1=NC=CC=C1;O=CC1=CC=C(O1)C1=NC=CC=C1;0.92;[0];[];[53];[60];[];3688
BrC1=CC=C(O1)C=O;Br[Zn]C1=NC=CC=C1;O=CC1=CC=C(O1)C1=NC=CC=C1;0.92;[0];[];[53];[60];[];3689
BrC1=CC=C(O1)C=O;Br[Zn]C1=NC=CS1;O=CC1=CC=C(O1)C1=NC=CS1;0.43;[0];[];[53];[60];[];3690
IC1=CC=C(C=C1)N(=O)=O;Cl[Zn]C1=CC=CC=C1;O=N(=O)C1=CC=C(C=C1)C1=CC=CC=C1;0.74;[0];[];[53];[60];[];3691
IC1=CC=C(C=C1)N(=O)=O;Cl[Zn]C1=CC=CO1;O=N(=O)C1=CC=C(C=C1)C1=CC=CO1;0.71;[0];[];[53];[60];[];3692
IC1=CC=CC=C1;Cl[Zn]C1=COC=C1;O1C=CC(=C1)C1=CC=CC=C1;0.85;[0];[];[53];[60];[];3694
IC1=CC=CC=C1;Cl[Zn]C1=CC=CO1;O1C=CC=C1C1=CC=CC=C1;0.89;[0];[];[53];[60];[];3695
OC(=O)C1=CC=C(I)C=C1;Cl[Zn]C1=CC=CO1;OC(=O)C1=CC=C(C=C1)C1=CC=CO1;0.47;[0];[];[53];[60];[];3696
OC1=CC=C(I)C=C1;Br[Zn]C1=CC2=CC=CC=C2N=C1;OC1=CC=C(C=C1)C1=CC2=CC=CC=C2N=C1;0.64;[0];[];[53];[60];[];3698
OC1=CC=C(I)C=C1;Br[Zn]C1=CN=CC2=CC=CC=C12;OC1=CC=C(C=C1)C1=CN=CC2=CC=CC=C12;0.9;[0];[];[53];[60];[];3699
Br[Zn]C1=CC=CN=C1;IC1=CSC=C1;S1C=CC(=C1)C1=CC=CN=C1;0.71;[0];[];[53];[60];[];3701
IC1=CSC=C1;Br[Zn]C1=CC2=CC=CC=C2N=C1;S1C=CC(=C1)C1=CC2=C(C=CC=C2)N=C1;0.53;[0];[];[53];[60];[];3702
IC1=CSC=C1;Br[Zn]C1=NC=CC=C1;S1C=CC(=C1)C1=NC=CC=C1;0.85;[0];[];[53];[60];[];3703
IC1=CSC=C1;Br[Zn]C1=NC=CC=C1;S1C=CC(=C1)C1=NC=CC=C1;0.85;[0];[];[53];[60];[];3704
Br[Zn]C1=CC=CN=C1;BrC1=CC=CS1;S1C=CC=C1C1=CC=CN=C1;0.86;[0];[];[53];[60];[];3705
BrC1=CC=CS1;Br[Zn]C1=NC=CC=C1;S1C=CC=C1C1=NC=CC=C1;0.68;[0];[];[53];[60];[];3706
BrC1=CC=CS1;Br[Zn]C1=NC=CC=C1;S1C=CC=C1C1=NC=CC=C1;0.68;[0];[];[53];[60];[];3707
BrC1=CC=CS1;Br[Zn]C1=NC=CC=C1;S1C=CC=C1C1=NC=CC=C1;0.68;[0];[];[53];[60];[];3708
N#C[Zn]C#N;COC1=CC=C(Br)C=C1C=O;COC1=C(C=O)C=C(C=C1)C#N;0.99;[0];[];[53];[61];[];3709
ClC1=CC=CC=C1C[Zn]Br;CCOC(=O)C1=C(Cl)N=C(N=C1)C1=CC=CC=C1;CCOC(=O)C1=CN=C(N=C1CC1=CC=CC=C1Cl)C1=CC=CC=C1;0.83;[0];[];[53];[61];[];3710
Br[Zn]C1=CC=CC=C1;[H][C@]12C=C[C@](C)(C[C@@]1(C)OC)C(OS(=O)(=O)C(F)(F)F)=C2;[H][C@]12C=C[C@](C)(C[C@@]1(C)OC)C(=C2)C1=CC=CC=C1;0.62;[0];[];[53];[60];[];3711
IC1=C([Se]C(=C1)C1=CC=CC=C1)C1=CC=CC=C1;Cl[Zn]C1=CC2=C(C=CC=C2)C=C1;[Se]1C(=CC(=C1C1=CC=CC=C1)C1=CC=C2C=CC=CC2=C1)C1=CC=CC=C1;0.35;[0];[];[53];[60];[];3712
IC1=C([Se]C(=C1)C1=CC=CC=C1)C1=CC=CC=C1;Cl[Zn]C1=CC=CC=C1;[Se]1C(=CC(=C1C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CC=C1;0.71;[0];[];[53];[60];[];3713
IC1=C([Se]C(=C1)C1=CC=CC=C1)C1=CC=CC=C1;Cl[Zn]C#CC1=CC=CC=C1;[Se]1C(=CC(C#CC2=CC=CC=C2)=C1C1=CC=CC=C1)C1=CC=CC=C1;0.75;[0];[];[53];[60];[];3714
Br\C(Br)=C/C1=CC=CC=C1;Cl[Zn]C=C;Br\C(C=C)=C/C1=CC=CC=C1;0.84;[0];[];[53];[60];[];3715
IC1=CC(=CC=C1)N(=O)=O;BrC1=C([Zn]I)C=CC=C1;BrC1=CC=CC=C1C1=CC(=CC=C1)N(=O)=O;0.98;[0];[];[53];[60];[];3716
Br[Zn]C1CC1;BrC1=CC(Br)=NC=C1;BrC1=CC=NC(=C1)C1CC1;0.85;[0];[];[53];[60];[];3717
CC(C)(C)[Si](C)(C)OC[C@@H]1C[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H](O1)N1C=NC2=C1N=CN=C2I;I[Zn]COC(=O)C1=CC=CC=C1;CC(C)(C)[Si](C)(C)OC[C@@H]1C[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H](O1)N1C=NC2=C1N=CN=C2COC(=O)C1=CC=CC=C1;0.92;[0];[];[53];[60];[];3720
IC1=C([Se]C(=C1)C1=CC=CC=C1)C1=CC=CC=C1;CC1=C([Zn]Cl)C=CC=C1;CC1=C(C=CC=C1)C1=C([Se]C(=C1)C1=CC=CC=C1)C1=CC=CC=C1;0.65;[0];[];[53];[60];[];3721
CC1=CC(Br)=CC=C1I;Br[Zn]C1=CC=CS1;CC1=CC(Br)=CC=C1C1=CC=CS1;0.9;[0];[];[53];[60];[];3722
ClC1=CC(CC2=CC=CC=C2)=NC(Cl)=N1;C[Zn]C;CC1=CC(CC2=CC=CC=C2)=NC(Cl)=N1;0.83;[0];[];[53];[60];[];3723
IC1=C([Se]C(=C1)C1=CC=CC=C1)C1=CC=CC=C1;CC1=CC=C([Zn]Cl)C=C1;CC1=CC=C(C=C1)C1=C([Se]C(=C1)C1=CC=CC=C1)C1=CC=CC=C1;0.95;[0];[];[53];[60];[];3724
CC1=CN=C(Br)C=C1;Br[Zn]C1=NC=CC=C1;CC1=CC=C(N=C1)C1=NC=CC=C1;0.87;[0];[];[53];[60];[];3725
CC1=CC=CN=C1Br;Br[Zn]C1=NC=CC=C1;CC1=CC=CN=C1C1=NC=CC=C1;0.68;[0];[];[53];[60];[];3726
CC1=CC(Br)=NC=C1;Br[Zn]C1=NC=CC=C1;CC1=CC=NC(=C1)C1=CC=CC=N1;0.7;[0];[];[53];[60];[];3727
CC1=CC=CC(Br)=N1;Br[Zn]C1=NC=CC=C1;CC1=NC(=CC=C1)C1=NC=CC=C1;0.81;[0];[];[53];[60];[];3728
CCCCC1=C(I)C=C([Se]1)C1=CC=CC=C1;CC1=CC=C([Zn]Cl)C=C1;CCCCC1=C(C=C([Se]1)C1=CC=CC=C1)C1=CC=C(C)C=C1;0.73;[0];[];[53];[60];[];3729
CCCCC1=C(I)C=C([Se]1)C1=CC=CC=C1;Cl[Zn]C1=CC=C(Cl)C=C1;CCCCC1=C(C=C([Se]1)C1=CC=CC=C1)C1=CC=C(Cl)C=C1;0.9;[0];[];[53];[60];[];3730
CCCCC1=CC(I)=C(CCCC)[Se]1;CC1=CC=C([Zn]Cl)C=C1;CCCCC1=CC(=C(CCCC)[Se]1)C1=CC=C(C)C=C1;0.7;[0];[];[53];[60];[];3731
CCCCC1=CC(I)=C(CCCC)[Se]1;Cl[Zn]C1=CC=C(Cl)C=C1;CCCCC1=CC(=C(CCCC)[Se]1)C1=CC=C(Cl)C=C1;0.76;[0];[];[53];[60];[];3732
CCCCC1=CC(I)=C(CCCC)[Se]1;Cl[Zn]C1=CC=CC=C1;CCCCC1=CC(=C(CCCC)[Se]1)C1=CC=CC=C1;0.7;[0];[];[53];[60];[];3733
ClC1=NN=C(Cl)C=C1;CCCC[Zn]Br;CCCCC1=CC=C(Cl)N=N1;0.87;[0];[];[53];[60];[];3734
CCCCCC\C=C\I;BrC1=C([Zn]I)C=CC=C1;CCCCCC\C=C\C1=C(Br)C=CC=C1;0.89;[0];[];[53];[60];[];3735
IC1=C([Se]C(=C1)C1=CC=CC=C1)C1=CC=CC=C1;CCCCCC#C[Zn]Cl;CCCCCC#CC1=C([Se]C(=C1)C1=CC=CC=C1)C1=CC=CC=C1;0.75;[0];[];[53];[60];[];3736
CCOC(=O)C(\Br)=C/Br;CCOC(=O)C1=CC=C([Zn]Br)C=C1;CCOC(=O)C(\Br)=C/C1=CC=C(C=C1)C(=O)OCC;0.52;[0];[];[53];[60];[];3737
CCOC(=O)C(\Br)=C/Br;Cl[Zn]C1=CC=CC=C1;CCOC(=O)C(\Br)=C/C1=CC=CC=C1;0.79;[0];[];[53];[60];[];3738
CCOC(=O)C(\Br)=C\Br;C[Si](C)(C)C#C[Zn]Cl;CCOC(=O)C(\Br)=C\C#C[Si](C)(C)C;0.91;[0];[];[53];[60];[];3739
CCOC(=O)C(\Br)=C\Br;COCOC1=C([Zn]Cl)C=CC=C1;CCOC(=O)C(\Br)=C\C1=C(OCOC)C=CC=C1;0.58;[0];[];[53];[60];[];3740
ClC1=NN=C(Cl)C=C1;CCOC(=O)C1=CC=C([Zn]I)C=C1;CCOC(=O)C1=CC=C(C=C1)C1=CC=C(Cl)N=N1;0.61;[0];[];[53];[60];[];3741
CCOC(=O)C1=C(Cl)C=C(Cl)N=C1;ClC1=CC([Zn]I)=CC=C1;CCOC(=O)C1=CN=C(C=C1Cl)C1=CC(Cl)=CC=C1;0.49;[0];[];[53];[60];[];3742
BrC1=NC=CC=C1;CCOC(=O)CCC[Zn]Br;CCOC(=O)CCCC1=NC=CC=C1;0.74;[0];[];[53];[60];[];3743
IC1=C([Se]C(=C1)C1=CC=CC=C1)C1=CC=CC=C1;Cl[Zn]C1=C(Cl)C=CC=C1;ClC1=C(C=CC=C1)C1=C([Se]C(=C1)C1=CC=CC=C1)C1=CC=CC=C1;0.82;[0];[];[53];[60];[];3744
ClC1=CC(Cl)=NC(Cl)=N1;I[Zn]COC(=O)C1=CC=CC=C1;ClC1=CC(COC(=O)C2=CC=CC=C2)=NC(Cl)=N1;0.69;[0];[];[53];[60];[];3745
IC1=C([Se]C(=C1)C1=CC=CC=C1)C1=CC=CC=C1;Cl[Zn]C1=CC=C(Cl)C=C1;ClC1=CC=C(C=C1)C1=C([Se]C(=C1)C1=CC=CC=C1)C1=CC=CC=C1;0.7;[0];[];[53];[60];[];3746
ClC1=NN=C(Cl)C=C1;Br[Zn]CCC1=CC=CC=C1;ClC1=CC=C(CCC2=CC=CC=C2)N=N1;0.63;[0];[];[53];[60];[];3747
ClC1=NN=C(Cl)C=C1;Cl[Zn]CC1=CC=CC(Cl)=C1;ClC1=CC=CC(CC2=CC=C(Cl)N=N2)=C1;0.64;[0];[];[53];[60];[];3748
ClC1=NN=C(Cl)C=C1;Br[Zn]C1CCCCC1;ClC1=NN=C(C=C1)C1CCCCC1;0.27;[0];[];[53];[60];[];3750
COC1=CC=C(COC[C@H](C)[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](C)\C=C(\C)I)C=C1;COC(=O)[C@@H](C)C[Zn]Br;COC(=O)[C@@H](C)C\C(C)=C/[C@H](C)[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H](C)COCC1=CC=C(OC)C=C1;0.87;[0];[];[53];[60];[];3751
CC(C)\C=C(/I)CO[Si](C)(C)C(C)(C)C;COC(=O)[C@@H](C)C[Zn]Br;COC(=O)[C@@H](C)C\C(CO[Si](C)(C)C(C)(C)C)=C/C(C)C;0.37;[0];[];[53];[60];[];3752
COC(=O)\C=C\I;BrC1=C([Zn]I)C=CC=C1;COC(=O)\C=C\C1=C(Br)C=CC=C1;0.91;[0];[];[53];[60];[];3753
COC(=O)C(\Br)=C\Br;FC1=CC=C([Zn]Cl)C=C1;COC(=O)C(\Br)=C\C1=CC=C(F)C=C1;0.84;[0];[];[53];[60];[];3754
COC(=O)C(\Br)=C\Br;Cl[Zn]C1=CC=CS1;COC(=O)C(\Br)=C\C1=CC=CS1;0.85;[0];[];[53];[60];[];3755
COC(=O)C1=C(C)C=C(Br)O1;Br[Zn]CCCCCCC#N;COC(=O)C1=C(C)C=C(CCCCCCC#N)O1;0.84;[0];[];[53];[60];[];3757
COC(=O)C1=C(I)C=CC(C)=C1;BrC1=C([Zn]I)C=CC=C1;COC(=O)C1=C(C=CC(C)=C1)C1=CC=CC=C1Br;0.85;[0];[];[53];[60];[];3758
COC(=O)C1=C(CCN(C1)C(=O)OC(C)(C)C)OS(=O)(=O)C(F)(F)F;FC1=CC=C([Zn]Br)C=C1;COC(=O)C1=C(CCN(C1)C(=O)OC(C)(C)C)C1=CC=C(F)C=C1;0.71;[0];[];[53];[60];[];3759
COC(=O)C1=C(CCN(C1)C(=O)OC(C)(C)C)OS(=O)(=O)C(F)(F)F;FC1=CC=C([Zn]Br)C=C1;COC(=O)C1=C(CCN(C1)C(=O)OC(C)(C)C)C1=CC=C(F)C=C1;0.71;[0];[];[53];[60];[];3760
COC(=O)C1=CC(=CC(I)=C1)C(=O)OC;[Zn]C1=C(C=CC=C1)C#N;COC(=O)C1=CC(=CC(=C1)C(=O)OC)C1=C(C=CC=C1)C#N;0.65;[0];[];[53];[60];[];3761
COC(=O)C1=CC=CC(I)=C1;BrC1=C([Zn]I)C=CC=C1;COC(=O)C1=CC(=CC=C1)C1=C(Br)C=CC=C1;0.94;[0];[];[53];[60];[];3762
CC1=CN=C([Zn]Br)C=C1;COC(=O)C1=CC2=C(C=NN2C(C)C)C(I)=C1;COC(=O)C1=CC2=C(C=NN2C(C)C)C(=C1)C1=CC=C(C)C=N1;0.5;[0];[];[53];[60];[];3764
CC1=CN=C([Zn]Br)C=C1;COC(=O)C1=CC2=C(N=CN2CC(C)C)C(I)=C1;COC(=O)C1=CC2=C(N=CN2CC(C)C)C(=C1)C1=CC=C(C)C=N1;0.57;[0];[];[53];[60];[];3765
COC1=CC=C(I)C=C1;CC(C)(C)OC\C(CC=C)=C/[Zn]Br;COC1=CC=C(C=C1)\C=C(/COC(C)(C)C)CC=C;0.77;[0];[];[53];[60];[];3766
COC1=CC=C(I)C=C1;CC(C)(C)OC\C(CC=C)=C/[Zn]Br;COC1=CC=C(C=C1)\C=C(/COC(C)(C)C)CC=C;0.77;[0];[];[53];[60];[];3767
