Reactant1;Reactant2;Product;Yield;M;L;T;S;A;id
CC(C)OC(=O)N1CCCC(N(CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C(C)=O)C2=CC=C(Br)C=C12;N#C[Zn]C#N;CC(C)OC(=O)N1CCCC(N(CC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C(C)=O)C2=CC=C(C=C12)C#N;0.51;[0];[];[59];[61];[];64
CC1=C(C(=NO1)C1=CC=C(Br)C=C1)C1=CC=CC=C1;N#C[Zn]C#N;CC1=C(C(=NO1)C1=CC=C(C=C1)C#N)C1=CC=CC=C1;0.71;[0];[];[59];[61];[];65
CCC1=C(OC)N=C(C)C(Br)=C1;N#C[Zn]C#N;CCC1=CC(C#N)=C(C)N=C1OC;0.92;[0];[];[59];[61];[];66
FC(F)(F)C1=CN(C(=N1)C1=CC=CC=C1)C1=CC=C(Br)C=C1;[Zn]C#N;FC(F)(F)C1=CN(C(=N1)C1=CC=CC=C1)C1=CC=C(C=C1)C#N;0.81;[0];[];[59];[61];[];67
FC(F)C(F)(F)OC1=CC(F)=CC(=C1)C(=O)C1=CC(Br)=C(F)C=C1;N#C[Zn]C#N;FC(F)C(F)(F)OC1=CC(F)=CC(=C1)C(=O)C1=CC(C#N)=C(F)C=C1;0.86;[0];[];[59];[61];[];68
NC1=C(F)C(I)=C(Cl)C=N1;N#C[Zn]C#N;NC1=C(F)C(C#N)=C(Cl)C=N1;0.69;[0];[];[59];[61];[];69
OC[C@H]1CC2=C(C1)C=C(Br)C=C2;N#C[Zn]C#N;OC[C@H]1CC2=C(C1)C=C(C=C2)C#N;0.78;[0];[];[59];[61];[];70
ClC1=CC=C(C=C1)C#N;Cl[Zn]C1=NC=CC=C1;N#CC1=CC=C(C=C1)C1=NC=CC=C1;0.73;[];[];[59];[60];[];71
ClC1=CC=CC(NC2=NC=CC3=C2C=C(Br)S3)=C1;N#C[Zn]C#N;ClC1=CC(NC2=NC=CC3=C2C=C(S3)C#N)=CC=C1;0.05;[0];[];[59];[61];[];73
ClC1=CC=CC(NC2=NC=CC3=C2C=C(Br)S3)=C1;N#C[Zn]C#N;ClC1=CC(NC2=NC=CC3=C2C=C(S3)C#N)=CC=C1;0.05;[0];[];[59];[61];[];74
CC(=O)NC1=C(C=C(Br)C=C1OC1CC2=C(C1)C=CC=C2)N(=O)=O;N#C[Zn]C#N;CC(=O)NC1=C(C=C(C=C1OC1CC2=C(C1)C=CC=C2)C#N)N(=O)=O;0.8;[0];[];[59];[61];[];75
CC(=O)NC1=C(C=C(Br)C=C1OCC1=CC=CC=C1)N(=O)=O;N#C[Zn]C#N;CC(=O)NC1=C(C=C(C=C1OCC1=CC=CC=C1)C#N)N(=O)=O;0.99;[0];[];[59];[61];[];76
BrC1=C2NC=CC2=CC=C1;N#C[Zn]C#N;N#CC1=C2NC=CC2=CC=C1;0.82;[0];[];[59];[61];[];77
BrC1=C(OCCNC(=O)OCC2=CC=CC=C2)C=C(C=C1)C1=C(OCCNC(=O)OCC2=CC=CC=C2)C=CC=C1;N#C[Zn]C#N;O=C(NCCOC1=C(C=CC=C1)C1=CC(OCCNC(=O)OCC2=CC=CC=C2)=C(C=C1)C#N)OCC1=CC=CC=C1;0.76;[1, 1];[32];[59];[];[83, 71];78
